station	latidude	longitude
PB11	-19.76096	-69.65582 
PSGCX	-19.59717	-70.12305 
PB19	-23.90478	-69.290647 
PB10	-23.51343	-70.55408 
PATCX	-20.82071	-70.15288 
PB02	-21.31973	-69.89603 
PB13	-18.33585	-69.5016 
PB06	-22.7058	-69.57188 
HMBCX	-20.27822	-69.88791 
PB08	-20.14112	-69.1534 
PB04	-22.33369	-70.14918 
PB15	-23.208335	-69.47092 
PB05	-22.85283	-70.20235 
PB18	-17.58954	-69.48 
PB03	-22.04847	-69.7531 
PB14	-24.62597	-70.40379 
PB09	-21.79638	-69.24192 
PB07	-21.72667	-69.88618 
PB16	-18.3351	-69.50767 
PB12	-18.61406	-70.32809 
PB01	-21.04323	-69.4874 
MNMCX	-19.13108	-69.59553 
